Post_ID,Account_No,Post_Type,Date,Time,Caption,Likes,Comments,Shares,Views,Duration_Played,Hashtags,Followers_at_Post_Time
1,account_24,Static_Image,05-01-2024,21:01:32,How to grow your brand on a budget.,4851,433,173,37788,,#BusinessGrowth #EntrepreneurLife,9548
2,account_40,Static_Image,08-01-2024,22:26:26,Top 3 superfoods you should include in your diet.,1168,193,149,21372,,#MentalHealthMatters #Wellness,13744
3,account_29,Reel,13-01-2024,17:01:53,The top 3 coding tools to boost your productivity.,3148,39,170,11377,67%,#CodeNewbie #Programming,11766
4,account_18,Reel,16-01-2024,14:47:04,Exploring the world of coding with insights and ideas,3100,249,181,30511,64%,#CyberSecurity #Robotics,9616
5,account_30,Carousel,20-01-2024,04:53:01,The secret to flavorful and healthy meals.,3408,444,214,9630,,#HealthyMeals #DeliciousEats,12408
7,account_40,Reel,26-01-2024,17:34:51,Exploring the world of robotics with insights and ideas,3403,142,22,11671,87%,#MachineLearning #NLP,17910
8,account_20,Reel,29-01-2024,09:05:49,Exploring the world of artificial intelligence with insights and ideas,1879,373,219,48233,75%,#AIandML #TechLife,19714
9,account_12,Reel,01-02-2024,18:08:13,How to use GitHub like a pro.,8795,217,96,42441,62%,#GitHubTips #DevCommunity,20888
10,account_8,Carousel,04-02-2024,10:27:28,AI vs Human Intelligence: Who wins?,6626,275,174,17337,,#FutureOfAI #Technology,17595
11,account_17,Reel,06-02-2024,16:37:57,How to master the art of meal prepping.,8614,336,91,13021,55%,#CookingTips #HomeChef,21573
13,account_31,Static_Image,15-02-2024,22:55:37,Exploring the world of AI ethics with insights and ideas,4048,145,266,23206,,#CyberSecurity #AIInnovation,20835
14,account_1,Carousel,17-02-2024,17:00:41,Unveiling the magic of Natural Language Processing.,365,23,295,691,,#NLPBasics #AIForBeginners,20200
15,account_14,Reel,21-02-2024,21:23:45,Quick and easy recipes for busy days.,7449,359,58,44354,95%,#MealPrepIdeas #QuickRecipes,16988
16,account_16,Reel,24-02-2024,20:10:09,Discover new ways to enhance your business journey,4355,354,55,10041,99%,#BusinessMindset #CookingTips,20860
17,account_31,Reel,26-02-2024,21:23:56,Let's capture the beauty of technology and create unforgettable experiences!,9706,283,70,16645,86%,#technology #influencer,21064
18,account_50,Reel,02-03-2024,06:22:44,Let's celebrate the power of sports and create unforgettable moments!,403,94,72,30429,74%,#sports #influencer,21373
19,account_6,Reel,04-03-2024,08:26:59,Exploring the world of machine learning with insights and ideas,2031,406,204,32695,82%,#Automation #AIRevolution,19829
20,account_43,Reel,09-03-2024,01:42:44,Discover new ways to enhance your work-life balance journey,7550,374,114,32942,77%,#CulinarySkills #StartupHustle,22007
22,account_47,Reel,11-03-2024,13:32:54,Let's unveil hidden gems of art and create unforgettable dreams!,8846,56,49,29829,73%,#art #influencer,26129
24,account_4,Reel,17-03-2024,23:24:32,Discover new ways to enhance your culinary tips journey,6618,61,283,48560,66%,#BusinessMindset #LifestyleGoals,24388
